1  recovers  Synset('recuperate.v.04')
1  strongly  Synset('strongly.r.01')
1  in  Synset('indium.n.01')
1  April-June  None
2  posted  Synset('station.v.01')
2  net  Synset('net.v.02')
2  profit  Synset('profit.v.02')
3  would  None
3  have  Synset('have.v.07')
3  made  Synset('stool.v.04')
3  a  Synset('deoxyadenosine_monophosphate.n.01')
3  group  Synset('group.v.02')
3  net  Synset('net.v.02')
3  profit  Synset('profit.v.02')
4  had  Synset('take.v.35')
4  projected  Synset('visualize.v.01')
4  its  Synset('information_technology.n.01')
4  April-September  None
4  parent  Synset('rear.v.02')
4  current  Synset('stream.n.02')
4  profit  Synset('profit.v.02')
5  posted  Synset('station.v.01')
5  a  Synset('deoxyadenosine_monophosphate.n.01')
5  first-half  None
5  parent  Synset('parent.n.01')
5  current  Synset('current.n.02')
5  profit  Synset('profit.v.02')
6  was  Synset('be.v.05')
6  excluded  Synset('exclude.v.03')
7  makes  Synset('take.v.27')
7  Japanese  Synset('japanese.n.02')
7  companies  Synset('ship's_company.n.01')
7  ,  None
7  because  None
7  it  Synset('information_technology.n.01')
8  lowers  Synset('lower_berth.n.01')
8  the  None
8  price  Synset('price.v.02')
9  posted  Synset('station.v.01')
9  a  Synset('deoxyadenosine_monophosphate.n.01')
9  group  Synset('group.v.02')
9  net  Synset('net.v.04')
9  loss  Synset('loss.n.06')
10  was  Synset('washington.n.02')
10  on  Synset('on.r.03')
10  a  Synset('deoxyadenosine_monophosphate.n.01')
10  gradual  Synset('gradual.a.02')
10  recovery  Synset('convalescence.n.01')
10  trend  Synset('vogue.n.01')
11  remained  Synset('stay.v.04')
12  started  Synset('startle.v.02')
12  showing  Synset('usher.v.01')
12  signs  Synset('sign.v.05')
13  were  Synset('exist.v.01')
13  strong  Synset('potent.a.03')
14  had  Synset('take.v.35')
14  not  Synset('not.r.01')
14  changed  Synset('changed.s.03')
14  its  Synset('information_technology.n.01')
14  forecast  Synset('prognosis.n.01')
15  has  Synset('induce.v.02')
15  a  Synset('deoxyadenosine_monophosphate.n.01')
15  very  Synset('very.s.01')
15  strong  Synset('potent.a.03')
15  recovery  Synset('recovery.n.03')
16  fell  Synset('precipitate.v.03')
