1  expects  Synset('expect.v.05')
1  tripling  Synset('tripling.n.01')
1  of  None
1  revenues  Synset('gross.n.02')
2  marked  Synset('tag.v.01')
2  its  Synset('information_technology.n.01')
3  come  Synset('semen.n.01')
3  through  Synset('through.r.05')
3  the  None
3  centre  Synset('kernel.n.03')
4  told  Synset('tell.v.03')
4  a  Synset('deoxyadenosine_monophosphate.n.01')
4  news  Synset('news.n.02')
4  conference  Synset('conference.n.03')
5  would  None
5  seek  Synset('seek.v.04')
5  to  None
5  convert  Synset('convert.v.05')
5  rental  Synset('rental.a.02')
5  agreements  Synset('agreement.n.04')
6  invested  Synset('invest.v.04')
6  about  Synset('about.r.05')
6  50  Synset('fifty.n.01')
6  million  Synset('million.n.01')
6  pounds  Synset('pound.n.12')
6  in  Synset('indium.n.01')
6  redesigning  Synset('redesign.v.01')
6  the  None
6  centre  Synset('center.n.14')
6  and  None
6  installing  Synset('installation.n.01')
6  a  Synset('deoxyadenosine_monophosphate.n.01')
6  SegaWorld  None
6  virtual  Synset('virtual.s.02')
6  reality  Synset('reality.n.04')
7  derives  Synset('derive.v.05')
7  its  Synset('information_technology.n.01')
7  revenues  Synset('tax_income.n.01')
8  receives  Synset('welcome.v.02')
8  from  None
8  these  None
8  tenants  Synset('tenant.v.01')
9  entered  Synset('record.v.01')
9  into  None
9  a  Synset('vitamin_a.n.01')
9  joint  Synset('roast.n.01')
9  venture  Synset('venture.n.03')
9  for  None
9  Marvel  Synset('wonder.v.03')
9  Mania  Synset('mania.n.01')
10  provide  Synset('leave.v.06')
10  guaranteed  Synset('undertake.v.03')
10  income  Synset('income.n.01')
11  is  Synset('exist.v.01')
11  also  Synset('besides.r.02')
11  intent  Synset('purpose.n.01')
12  offers  Synset('volunteer.v.02')
12  unrivalled  Synset('matchless.s.01')
12  opportunities  Synset('opportunity.n.01')
13  was  Synset('be.v.05')
13  spun  Synset('whirl.v.02')
13  off  Synset('away.r.01')
13  from  None
13  property  Synset('property.n.05')
13  management  Synset('management.n.02')
13  group  Synset('group.v.02')
13  Burford  None
13  Holdings  Synset('restrain.v.03')
13  last  Synset('last.n.02')
13  November  Synset('november.n.01')
14  was  Synset('washington.n.02')
14  a  Synset('deoxyadenosine_monophosphate.n.01')
14  shopping  Synset('patronize.v.02')
14  mall  Synset('promenade.n.02')
15  lay  Synset('put.v.01')
15  in  Synset('indium.n.01')
15  its  Synset('information_technology.n.01')
15  transformation  Synset('transformation.n.03')
15  from  None
15  a  Synset('deoxyadenosine_monophosphate.n.01')
15  shopping  Synset('patronize.v.02')
15  mall  Synset('promenade.n.02')
15  into  None
15  premier  Synset('prime_minister.n.01')
15  entertainment  Synset('entertainment.n.01')
15  destination  Synset('finish.n.04')
16  was  Synset('be.v.05')
16  to  None
16  convert  Synset('convert.v.05')
16  visitors  Synset('visitor.n.01')
17  told  Synset('tell.v.07')
17  Reuters  None
18  expected  Synset('expect.v.05')
18  the  None
18  retail  Synset('retail.v.02')
18  revenues  Synset('gross.n.02')
19  expects  Synset('expect.v.05')
19  the  None
19  centre  Synset('kernel.n.03')
19  to  None
19  reach  Synset('reach.v.07')
19  maturity  Synset('maturity.n.03')
20  added  Synset('total.v.02')
21  relaunch  None
21  on  Synset('on.r.03')
21  Tuesday  Synset('tuesday.n.01')
21  after  Synset('subsequently.r.01')
21  a  Synset('deoxyadenosine_monophosphate.n.01')
21  50  Synset('fifty.n.01')
21  million  Synset('million.n.01')
21  pound  Synset('pound.n.12')
21  redevelopment  Synset('renovation.n.01')
21  that  None
21  it  Synset('information_technology.n.01')
22  are  Synset('exist.v.01')
22  currently  Synset('presently.r.02')
22  negotiating  Synset('negotiate.v.02')
22  with  None
22  several  Synset('several.s.03')
22  potential  Synset('potential.n.01')
22  sponsors  Synset('patronize.v.02')
22  and  None
22  will  Synset('will.n.02')
22  be  Synset('exist.v.01')
22  developing  Synset('train.v.01')
22  commercial  Synset('commercial.a.01')
22  partnerhsips  None
23  can  Synset('can.v.01')
23  provide  Synset('leave.v.06')
24  to  None
24  promote  Synset('promote.v.05')
24  their  None
24  products  Synset('intersection.n.04')
25  generate  Synset('render.v.04')
25  retail  Synset('retail.v.02')
25  revenues  Synset('tax_income.n.01')
26  relaunch  None
26  on  Synset('on.r.03')
26  Tuesday  Synset('tuesday.n.01')
26  after  Synset('subsequently.r.01')
26  a  Synset('deoxyadenosine_monophosphate.n.01')
26  50  Synset('fifty.n.01')
26  million  Synset('million.n.01')
26  pound  Synset('pound.n.12')
26  redevelopment  Synset('renovation.n.01')
26  that  None
26  it  Synset('information_technology.n.01')
26  said  Synset('suppose.v.01')
27  told  Synset('state.v.01')
27  Reuters  None
27  that  None
27  he  Synset('helium.n.01')
27  expected  Synset('expect.v.05')
27  the  None
27  retail  Synset('retail.n.01')
27  revenues  Synset('tax_income.n.01')
27  to  None
27  triple  Synset('triple.n.01')
27  over  Synset('over.n.01')
27  next  Synset('next.r.01')
27  five  Synset('five.n.01')
27  years  Synset('year.n.03')
27  ,  None
27  time  Synset('time.n.05')
27  span  Synset('cross.v.05')
27  in  Synset('in.r.01')
27  which  None
27  expects  Synset('expect.v.05')
27  centre  Synset('center.n.14')
27  reach  Synset('scope.n.01')
27  maturity  Synset('adulthood.n.01')
28  expected  Synset('expect.v.05')
28  the  None
28  retail  Synset('retail.n.01')
28  revenues  Synset('tax_income.n.01')
28  to  None
28  triple  Synset('triple.n.01')
28  over  Synset('over.n.01')
28  next  Synset('next.r.01')
28  five  Synset('five.n.01')
28  years  Synset('year.n.03')
28  ,  None
28  time  Synset('time.n.05')
28  span  Synset('cross.v.05')
28  in  Synset('in.r.01')
28  which  None
28  he  Synset('helium.n.01')
28  expects  Synset('expect.v.05')
28  centre  Synset('center.n.14')
28  reach  Synset('scope.n.01')
28  maturity  Synset('adulthood.n.01')
29  said  Synset('say.v.09')
29  Trocadero  None
29  would  None
29  seek  Synset('seek.v.04')
29  to  None
29  convert  Synset('convert.v.06')
29  rental  Synset('rental.a.02')
29  agreements  Synset('agreement.n.04')
29  into  None
29  revenue-sharing  None
29  deals  Synset('softwood.n.01')
29  as  Synset('equally.r.01')
29  leases  Synset('rent.v.04')
29  expire  Synset('die.v.01')
30  would  None
30  seek  Synset('seek.v.04')
30  to  None
30  convert  Synset('convert.v.06')
30  rental  Synset('rental.a.02')
30  agreements  Synset('agreement.n.04')
30  into  None
30  revenue-sharing  None
30  deals  Synset('softwood.n.01')
30  as  Synset('equally.r.01')
30  leases  Synset('rent.v.04')
30  expire  Synset('die.v.01')
31  invested  Synset('invest.v.04')
31  about  Synset('about.r.05')
31  50  Synset('fifty.n.01')
31  million  Synset('million.n.01')
31  pounds  Synset('british_pound.n.01')
31  in  Synset('indium.n.01')
31  redesigning  Synset('redesign.v.01')
31  the  None
31  centre  Synset('center.n.14')
31  --  None
31  shifting  Synset('shift.n.05')
31  its  Synset('information_technology.n.01')
31  focus  Synset('focus.n.06')
31  from  None
31  shopping  Synset('shopping.n.02')
31  to  None
31  entertainment  Synset('entertainment.n.01')
31  and  None
31  giving  Synset('give.v.43')
31  it  Synset('information_technology.n.01')
31  a  Synset('deoxyadenosine_monophosphate.n.01')
31  flashy  Synset('flashy.s.02')
31  ,  None
31  high-tech  Synset('high-tech.a.01')
31  look  Synset('spirit.n.02')
31  installing  Synset('installation.n.01')
31  SegaWorld  None
31  virtual  Synset('virtual.s.02')
31  reality  Synset('reality.n.03')
31  due  Synset('due.n.02')
31  open  Synset('unfold.v.04')
31  next  Synset('next.r.01')
31  month  Synset('month.n.02')
32  entered  Synset('figure.v.02')
32  into  None
32  a  Synset('deoxyadenosine_monophosphate.n.01')
32  joint  Synset('roast.n.01')
32  venture  Synset('venture.v.01')
32  for  None
32  Marvel  Synset('wonder.n.02')
32  Mania  Synset('mania.n.02')
32  themed  Synset('theme.v.01')
32  restaurant  Synset('restaurant.n.01')
32  to  None
32  be  Synset('be.v.01')
32  built  Synset('built.s.01')
32  adjacent  Synset('adjacent.s.02')
32  the  None
32  Trocadero  None
32  that  None
32  will  Synset('will.n.03')
32  provide  Synset('leave.v.06')
